"","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"leaders.metrics.m","5.4450e-02","5.3927e-02","0.0580569","0.89130","0","0.0229750","5.1196e-02","0.037220","0.0604707","5.5823e-02"
"institutions.metrics.m","9.2809e-03","8.8956e-03","0.0422179","0.63409","0","0.0379473","1.3464e-02","0.055138","0.0303663","2.4663e-02"
"people.metrics.m","1.7548e-05","2.1240e-08","0.0022196","0.93797","0","0.0034888","5.0130e-09","0.108200","0.0010738","2.5669e-08"
