"","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"leaders.metrics.m","3.1286e-02","2.9979e-02","0.0561720","0.83466","0","1.0418e-03","2.1185e-03","0.017298","0.00907164","3.3875e-02"
"institutions.metrics.m","1.1881e-02","1.1070e-02","0.0324893","0.77688","0","6.3998e-03","6.8242e-03","0.087032","0.00992465","1.2300e-02"
"people.metrics.m","3.5821e-05","1.2372e-07","0.0014373","0.92576","0","9.6022e-05","5.2257e-09","0.160080","0.00020274","1.3256e-07"
