"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1787","IwaKonata","0.00029","0.00000","0.0065","0.166","0.0000","2.1e-05","3.1e-18","0.0e+00","1.3e-05","1.1e-19"
"1788","ClaudioCastillo","0.00029","0.00000","0.0065","0.083","0.0000","2.2e-06","3.1e-18","0.0e+00","1.5e-06","1.1e-19"
"1789","xracx","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1790","kerosut","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1791","NuriKoo","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1792","ALUMNIPUCV","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1793","xeenniiaa","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1794","whatsmyage","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1795","Z4D","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-08","7.0e-20","0.0e+00","6.1e-09","1.1e-19"
"1796","GTorrejon","0.00059","0.00000","0.0098","0.582","0.0000","6.0e-03","5.5e-18","3.3e-01","4.3e-03","1.1e-19"
"1798","MaeBrit","0.00029","0.00000","0.0065","0.083","0.0000","2.0e-05","3.1e-18","0.0e+00","1.3e-05","1.1e-19"
"1799","CataChichona","0.00029","0.00000","0.0065","0.083","0.0000","7.2e-05","3.1e-18","0.0e+00","4.5e-05","1.1e-19"
"1800","caraschile2010","0.00000","0.00000","0.0033","0.083","0.0000","8.9e-07","7.0e-20","0.0e+00","5.7e-07","1.1e-19"
"1801","Poly_pop","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","1.9e-19","1.1e-19"
"1802","ferbiscarra","0.00000","0.00000","0.0033","0.582","0.0000","3.6e-03","7.0e-20","0.0e+00","3.2e-03","1.1e-19"
"1803","xtianmm","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-06","7.0e-20","0.0e+00","6.3e-07","1.1e-19"
"1804","SFalanca1906lsi","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1805","natiulloa","0.00000","0.00000","0.0033","0.582","0.0000","7.3e-04","7.0e-20","0.0e+00","5.8e-04","1.1e-19"
"1806","CaroReyesRey","0.00029","0.00000","0.0065","0.582","0.0000","1.5e-03","3.1e-18","0.0e+00","1.2e-03","1.1e-19"
