"","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"leaders.metrics.sem","1.6617e-02","0.00000000","0.18501639","0.1353627","0.000000","0.18569707","1.5971e-16","0.0662177","0.14963022","0.00000000"
"institutions.metrics.sem","3.7252e-02","0.03700510","0.01109907","0.0356598","0.036181","0.01092266","4.4821e-02","0.0106976","0.04896126","0.03935624"
"people.metrics.sem","8.9605e-05","0.00007633","0.00047981","0.0032396","0.000000","0.00037675","3.5795e-07","0.0024452","0.00028517","0.00022296"
