"","year","vcount","ecount","density","reciprocity","assortativity.institutions","assortativity.leaders"
"1","2010","  2946","  10856","1.2513e-03","0.0011304","0.016101","0.0315937"
"2","2011","111353"," 794254","6.4056e-05","0.0028345","0.038615","0.0041328"
"3","2012","123132","1013676","6.6859e-05","0.0145157","0.047945","0.0105013"
"4","2013","110371"," 989421","8.1222e-05","0.0114027","0.054129","0.0118814"
