"","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"leaders.metrics.m","0.02541826","0.00000000","0.286275","0.56595","0.00000","0.3079894","2.4759e-16","0.068559","0.2390374","1.0643e-19"
"institutions.metrics.m","0.08252967","0.08005324","0.030579","0.12767","0.05542","0.0163016","7.5607e-02","0.011254","0.0856640","1.1078e-01"
"people.metrics.m","0.00076674","0.00007633","0.010955","0.16581","0.00000","0.0060324","3.5795e-07","0.024594","0.0044171","2.2296e-04"
