"","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"leaders.metrics.m","0.05039300","4.8206e-02","0.0857944","0.88249","0","0.00417105","6.6698e-03","0.016382","0.01078501","5.2287e-02"
"institutions.metrics.m","0.02075495","1.9296e-02","0.0565965","0.79385","0","0.01234442","1.4110e-02","0.058634","0.01708603","2.9568e-02"
"people.metrics.m","0.00003418","1.1786e-07","0.0014893","0.91770","0","0.00015731","2.7049e-08","0.138578","0.00013314","1.4733e-07"
