"","account","date","value","type"
"95","@GiorgioJackson",2013-01-01,2.0951328,"positive"
"96","@GiorgioJackson",2013-02-01,2.7745793,"positive"
"97","@GiorgioJackson",2013-03-01,1.9950106,"positive"
"98","@GiorgioJackson",2013-04-01,2.065909,"positive"
"99","@GiorgioJackson",2013-05-01,2.1335897,"positive"
"100","@GiorgioJackson",2013-06-01,2.2860975,"positive"
"101","@GiorgioJackson",2013-07-01,2.0655851,"positive"
"102","@GiorgioJackson",2013-08-01,2.2916377,"positive"
"103","@GiorgioJackson",2013-09-01,2.2923825,"positive"
"104","@GiorgioJackson",2013-10-01,2.3323371,"positive"
"105","@GiorgioJackson",2013-11-01,2.2018547,"positive"
"106","@camila_vallejo",2011-01-01,1.6594204,"negative"
"107","@camila_vallejo",2011-02-01,2.1,"negative"
"108","@camila_vallejo",2011-03-01,1.3,"negative"
"109","@camila_vallejo",2011-04-01,1.7830188,"negative"
"110","@camila_vallejo",2011-05-01,1.4941701,"negative"
"111","@camila_vallejo",2011-06-01,1.5638081,"negative"
"112","@camila_vallejo",2011-07-01,1.6465236,"negative"
"113","@camila_vallejo",2011-08-01,1.8916548,"negative"
"114","@camila_vallejo",2011-09-01,1.7352554,"negative"
"115","@camila_vallejo",2011-10-01,2.0061917,"negative"
"116","@camila_vallejo",2011-11-01,1.6263844,"negative"
"117","@camila_vallejo",2011-12-01,1.7181273,"negative"
"118","@camila_vallejo",2012-01-01,2.3082218,"negative"
"119","@camila_vallejo",2012-02-01,2.089619,"negative"
"120","@camila_vallejo",2012-03-01,2.1773612,"negative"
"121","@camila_vallejo",2012-04-01,1.7697589,"negative"
"122","@camila_vallejo",2012-05-01,1.986359,"negative"
"123","@camila_vallejo",2012-06-01,1.6100401,"negative"
"124","@camila_vallejo",2012-07-01,2.325995,"negative"
"125","@camila_vallejo",2012-08-01,1.9378334,"negative"
"126","@camila_vallejo",2012-09-01,2.2352238,"negative"
"127","@camila_vallejo",2012-10-01,1.6867157,"negative"
"128","@camila_vallejo",2012-11-01,1.5681142,"negative"
"129","@camila_vallejo",2012-12-01,1.7873288,"negative"
"130","@camila_vallejo",2013-01-01,1.8324708,"negative"
"131","@camila_vallejo",2013-02-01,2.027749,"negative"
"132","@camila_vallejo",2013-03-01,2.0826223,"negative"
"133","@camila_vallejo",2013-04-01,1.7071182,"negative"
"134","@camila_vallejo",2013-05-01,1.6753322,"negative"
"135","@camila_vallejo",2013-06-01,1.9248148,"negative"
"136","@camila_vallejo",2013-07-01,1.5932019,"negative"
"137","@camila_vallejo",2013-08-01,1.7182708,"negative"
"138","@camila_vallejo",2013-09-01,1.7513328,"negative"
"139","@camila_vallejo",2013-10-01,1.5377433,"negative"
"140","@camila_vallejo",2013-11-01,1.5315951,"negative"
"141","@gabrielboric",2011-01-01,1.7550726,"negative"
"142","@gabrielboric",2011-02-01,1.4875,"negative"
"143","@gabrielboric",2011-03-01,1.325,"negative"
"144","@gabrielboric",2011-04-01,1.7236395,"negative"
"145","@gabrielboric",2011-05-01,1.6915113,"negative"
"146","@gabrielboric",2011-06-01,1.4739419,"negative"
"147","@gabrielboric",2011-07-01,1.8040833,"negative"
"148","@gabrielboric",2011-08-01,1.5425161,"negative"
"149","@gabrielboric",2011-09-01,1.7591853,"negative"
"150","@gabrielboric",2011-10-01,1.6634653,"negative"
