"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1991","Valessoncilla","0.255","0.242","0.147","0.000","0.00","1.7e-04","8.5e-04","0.0e+00","8.1e-04","1.00"
"986","FECUdeC","0.166","0.155","0.131","0.000","0.00","4.4e-04","2.4e-03","0.0e+00","2.3e-03","0.81"
"2915","feuc","1.000","1.000","0.000","0.000","0.00","0.0e+00","1.0e+00","6.9e-05","9.8e-01","0.75"
"40","CajitadeJugo","0.224","0.217","0.082","0.000","0.00","1.1e-04","1.0e-03","0.0e+00","9.0e-04","0.63"
"381","FEPUCV","0.137","0.136","0.013","0.083","0.14","6.8e-05","2.3e-03","8.2e-05","2.0e-03","0.38"
"95","goyarzun","0.057","0.056","0.013","0.000","0.00","4.0e-05","2.2e-03","0.0e+00","2.0e-03","0.28"
"1147","naupuc","0.384","0.360","0.268","0.499","1.00","3.1e-01","8.0e-01","3.8e-04","1.0e+00","0.22"
"934","palta_mayo","0.045","0.040","0.052","0.000","0.00","2.2e-08","3.0e-07","0.0e+00","2.5e-07","0.18"
"1240","feuvsantiago","0.047","0.045","0.033","0.000","0.00","1.1e-05","2.5e-04","0.0e+00","2.7e-04","0.17"
"2919","feuv","0.087","0.087","0.000","0.000","0.00","0.0e+00","8.0e-03","2.0e-04","7.1e-03","0.14"
