"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"125","CajitadeJugo","1.000","1.000","0.29","0.00","0","6.1e-16","4.1e-15","0.00000","0.0e+00","1.000"
"73","izqautonoma","0.548","0.463","0.43","0.00","0","3.1e-17","4.4e-16","0.00000","4.7e-17","0.280"
"195","feuc","0.753","0.826","0.00","0.00","0","0.0e+00","1.0e+00","0.00066","1.0e+00","0.143"
"13","naupuc","0.210","0.199","0.11","0.25","1","1.1e-01","1.9e-02","0.00833","1.2e-01","0.048"
"204","goyarzun","0.137","0.154","0.00","0.00","0","0.0e+00","4.2e-09","0.00000","2.7e-08","0.043"
"196","pepoglatz","0.196","0.219","0.00","0.00","0","0.0e+00","6.5e-02","0.00000","6.5e-02","0.041"
"200","FEPUCV","0.210","0.234","0.00","0.00","0","0.0e+00","2.2e-04","0.00000","2.2e-04","0.037"
"199","Godoy_JC","0.082","0.095","0.00","0.00","0","0.0e+00","2.0e-05","0.00000","1.3e-04","0.029"
"205","FranciscoSainz","0.192","0.214","0.00","0.00","0","0.0e+00","4.1e-16","0.00000","5.3e-17","0.021"
"197","feusach","0.046","0.055","0.00","0.00","0","0.0e+00","1.1e-07","0.00000","1.2e-07","0.020"
