username;leader;tipo
leivaldana;0;0
MCabrera70;0;0
ConJotaDeJoda;0;0
SrMolina2010;0;0
fcamiranda;0;0
aimanen;0;0
javita_m;0;0
diegojofre;0;0
luisivancs;0;0
Juanjo_Richter;0;0
camidiezdmedina;0;0
saangel_;0;0
cata_figueroa;0;0
Trowaban;0;0
MauroPatricioh;0;0
bernaic;0;0
ampi_;0;0
coneei;0;0
rickmao;0;0
hectorveloso;0;0
angelobustosd;0;0
valentina_zoe;0;0
Rileanca;0;0
hernansaez;0;0
patriciosaez;0;0
javieraeq;0;0
EvFritz;0;0
PauloChe_;0;0
pablobello;0;0
sergio_vnunez;0;0
crische;0;0
rl_silva;0;0
mauricio_ulloa;0;0
jjsuzukiv;0;0
Salvador_Angulo;0;0
tavavargas;0;0
pam_arq;0;0
cachirulada;0;0
Feuv;0;0
SebaFoka;0;0
LeylaOlguin;0;0
jorgesilvacel;0;0
Alex_Drago;0;0
mytwitcam;0;0
mechtac;0;0
MarceloSotoG;0;0
brumartltda;0;0
nosofobo;0;0
FroykValentyne;0;0
gabidroguett;0;0
Sebhaxx;0;0
Rene_Bustamante;0;0
cristianvenegas;0;0
catafilia;0;0
k_r_a_k;0;0
MagisterioChile;0;1
ccuevasz;0;0
PolloFlo;0;0
ramirezzzmary;0;0
orz2009;0;0
HUMANASSS;0;0
Ukhamawa;0;0
teotecnico;0;0
daalfreed;0;0
Batalle;0;0
sergiovillegas;0;0
ugedades__;0;0
victoralejandrc;0;0
ccabalin;0;0
karlarubilar;0;0
cientist_rgodoy;0;0
paitowilly;0;0
vbascur;0;0
JoaquinRiffoB;0;0
mwaissbluth;0;0
alfelali;0;0
ReneAucapan;0;0
Prialsina;0;0
israferreira;0;0
ArturoVera;0;0
GAMBA_CL;0;0
Coniiitanza;0;0
alesansan;0;0
CharlieKudo;0;0
diegocalderong;0;0
esopino;0;0
belemunoz;0;0
laviejacopucha;0;0
CarlosPaparoni;0;0
sciologo;0;0
alcarruz_;0;0
politicastereo;0;0
PanchoVenegas;0;0
ignaciosanjuan;0;0
Gochendo;0;0
dischalper;0;0
TheNYTomas;0;0
zonut;0;0
nemu8;0;0
twittsejero;0;0
Antipiretico;0;0
Fracordova;0;0
bossagna;0;0
movimental;0;0
aunque_duela;0;0
JesusEmanuel;0;0
Lajismo;0;0
elojodealberto;0;0
danigarciaL;0;0
anamry34;0;0
isepulvedaavila;0;0
fredymolina;0;0
MLlantenV;0;0
szczuczyn;0;0
AyelenJanekeo;0;0
YanninKo;0;0
trigorosa;0;0
Ximedu;0;0
jgalemparte;0;0
renejofre;0;0
KenoMunoz;0;0
hollstein74;0;0
majose_farias;0;0
emisarmo;0;0
valenzuelabecar;0;0
edgardotvu;0;0
ConceTV;0;0
rorro_navia;0;0
calderoncea;0;0
janochaparro;0;0
esgratis;0;0
Pabletealvarado;0;0
AlbertoPando;0;0
sindicatotv13;0;0
ex_alexistello;0;0
cburgost;0;0
nic0lasp;0;0
sigridps;0;0
mapc;0;0
adesalambrar;0;0
pgselles;0;0
Catiwi;0;0
lagosweber;0;0
vary_reyes;0;0
mmoragat;0;0
Pablo_Moya;0;0
Marcelo_elmago;0;0
fabianignacio1;0;0
CuchitaYuyi;0;0
Pame_Araneda;0;0
lorenagallardoc;0;0
marcelocarrillo;0;0
paamerivera;0;0
alvychrist;0;0
PatoMellado;0;0
LManuel_;0;0
david_figueroa;0;0
senadorquintana;0;0
Sin_BecasChile;0;1
newenweichan;0;0
felipithow;0;0
eszmulewicz;0;0
contramaestra;0;0
