"","year","vcount","ecount","clique","density","reciprocity"
"1",2009,206,718,3,0.0170021311863604,0
"2",2010,2946,10856,4,0.00125127219204308,0.00113036925395629
"3",2011,111353,794254,12,6.40559485762696e-05,0.00283448077408199
"4",2012,123132,1013676,22,6.68591458366699e-05,0.014515663251907
"5",2013,110371,989421,18,8.12222664201309e-05,0.0114026548260583
