"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"2328","camila_vallejo","1.0000","1.0000","0.02193","0.95","0","2.8e-02","1.0000","1.4e-06","1.000","1.000"
"2482","jjcc_chile","0.0650","0.0615","0.38407","0.95","0","2.5e-01","0.0752","8.2e-05","0.164","0.799"
"66","GiorgioJackson","0.4193","0.4180","0.14769","0.95","0","7.3e-02","0.3576","8.3e-06","0.415","0.410"
"25106","Izquierda_Tuit","0.2478","0.2441","0.40600","0.95","0","6.2e-01","0.5436","1.0e-05","0.900","0.279"
"111323","feuc","0.0663","0.0663","0.00000","0.00","0","0.0e+00","0.0555","8.6e-05","0.081","0.161"
"111336","confech","0.0585","0.0585","0.00000","0.00","0","0.0e+00","0.0786","1.6e-04","0.102","0.138"
"97414","feusach","0.0091","0.0091","0.00032","0.00","0","8.6e-06","0.0096","6.9e-04","0.011","0.134"
"89410","NoamTitelman","0.0221","0.0218","0.02709","0.95","0","9.1e-03","0.0226","6.0e-04","0.032","0.079"
"16","camiloriffo","0.0564","0.0540","0.26314","0.95","0","9.9e-02","0.0395","8.3e-05","0.074","0.059"
"53134","panchofigueroa","0.0304","0.0303","0.01193","0.95","0","6.0e-03","0.0346","3.3e-04","0.043","0.059"
