"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"3045","camila_vallejo","1.000","1.000","0.0541","0.98","0","0.00450","0.0769","6.2e-06","0.075","1.00"
"65","GiorgioJackson","0.723","0.717","0.2576","0.98","0","0.01001","0.0505","1.2e-05","0.061","0.83"
"52","jjcc_chile","0.113","0.108","0.2208","0.98","0","0.00877","0.0169","7.6e-05","0.021","0.64"
"29073","la_fech","0.162","0.162","0.0059","0.98","0","0.00034","0.0478","1.1e-04","0.046","0.56"
"7149","Rdemocratica","0.113","0.103","0.3903","0.98","0","0.01019","0.0133","1.0e-04","0.026","0.45"
"423","NoamTitelman","0.159","0.147","0.4723","0.98","0","0.01308","0.0304","1.5e-04","0.051","0.27"
"44099","Estafados_CORFO","0.181","0.155","0.9734","0.98","0","1.00000","1.0000","6.4e-05","1.000","0.25"
"123104","feuc","0.154","0.155","0.0000","0.00","0","0.00000","0.0254","9.3e-05","0.035","0.23"
"29195","naupuc","0.095","0.084","0.4239","0.98","0","0.00629","0.0085","1.2e-04","0.022","0.21"
"123110","Izquierda_Tuit","0.629","0.630","0.0000","0.00","0","0.00000","0.1937","7.7e-06","0.152","0.18"
