"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-17","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"2","2013-03-04","0.0000","0.0000","2.2500","0.0000"," 0.0000","0.0"
"3","2013-03-05","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"4","2013-03-17","0.0000","0.0000","1.5000","2.0000"," 0.0000","0.0"
"5","2013-03-18","1.0000","0.0000","1.0000","1.0000"," 0.0000","0.0"
"6","2013-03-20","0.0000","0.0000","1.2500","0.0000"," 0.0000","0.0"
"7","2013-03-21","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"8","2013-03-24","0.0000","0.0000","1.5000","1.0000"," 0.0000","0.0"
"9","2013-03-25","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"10","2013-03-26","0.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"11","2013-03-27","0.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"12","2013-03-28","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"13","2013-03-29","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"14","2013-03-30","0.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"15","2013-04-01","1.0000","0.0000","1.3810","1.0000"," 0.0000","0.0"
"16","2013-04-02","1.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"17","2013-04-03","0.0000","0.0000","1.1538","0.0000"," 0.0000","0.0"
"18","2013-04-04","0.0000","0.0000","1.4000","4.5000"," 0.0000","0.0"
"19","2013-04-05","1.0000","0.0000","0.0000","3.0000"," 0.0000","0.0"
"20","2013-04-06","0.0000","0.0000","1.4000","0.0000"," 0.0000","0.0"
"21","2013-04-07","1.0000","0.0000","1.1000","0.0000"," 0.0000","0.0"
"22","2013-04-08","1.3333","1.0000","1.1923","1.6667"," 0.0000","1.0"
"23","2013-04-09","0.0000","0.0000","1.3704","1.6667"," 2.0000","1.0"
"24","2013-04-10","1.0000","1.0000","1.2316","2.0000"," 1.5000","1.0"
"25","2013-04-11","1.0000","1.6667","1.6184","5.0000","10.1667","5.5"
"26","2013-04-12","0.0000","0.0000","1.2308","2.0000"," 2.0000","0.0"
"27","2013-04-13","0.0000","0.0000","1.0000","0.0000"," 1.0000","0.0"
"28","2013-04-14","0.0000","0.0000","1.0000","1.0000"," 0.0000","0.0"
"29","2013-04-15","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"30","2013-04-16","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"31","2013-04-19","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"32","2013-04-22","0.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"33","2013-04-24","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"34","2013-04-26","0.0000","0.0000","2.0000","0.0000"," 0.0000","0.0"
"35","2013-04-27","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"36","2013-04-29","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"37","2013-05-04","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"38","2013-05-06","0.0000","0.0000","1.5000","0.0000"," 0.0000","0.0"
"39","2013-05-07","0.0000","0.0000","2.5000","0.0000"," 0.0000","0.0"
"40","2013-05-08","0.0000","0.0000","1.8000","0.0000"," 0.0000","0.0"
"41","2013-05-09","0.0000","0.0000","1.2500","0.0000"," 0.0000","0.0"
"42","2013-05-11","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"43","2013-05-15","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"44","2013-05-28","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"45","2013-05-29","0.0000","0.0000","2.0000","0.0000"," 0.0000","0.0"
"46","2013-07-01","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"47","2013-07-05","1.0000","0.0000","0.0000","0.0000"," 0.0000","0.0"
"48","2013-07-06","1.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"49","2013-07-07","0.0000","0.0000","1.1667","0.0000"," 0.0000","0.0"
"50","2012-07-08","1.0000","0.0000","0.0000","0.0000"," 0.0000","0.0"
"51","2013-07-08","0.0000","0.0000","1.4444","0.0000"," 0.0000","0.0"
"52","2012-07-09","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"53","2013-07-09","0.0000","0.0000","1.5385","1.0000"," 0.0000","0.0"
"54","2012-07-10","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"55","2013-07-10","1.0000","0.0000","1.2000","1.6667"," 0.0000","1.0"
"56","2013-07-11","1.0000","1.0000","1.2347","1.0000"," 1.0000","1.0"
"57","2013-07-12","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"58","2013-07-13","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"59","2013-07-15","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"60","2013-08-19","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"61","2013-08-29","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"62","2013-09-07","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"63","2012-09-09","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"64","2013-09-25","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"65","2012-09-27","0.0000","0.0000","2.0000","0.0000"," 0.0000","0.0"
"66","2013-09-27","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"67","2012-09-30","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"68","2012-10-03","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"69","2012-10-04","0.0000","0.0000","1.4375","0.0000"," 0.0000","0.0"
"70","2012-10-05","0.0000","0.0000","1.1071","0.0000"," 0.0000","0.0"
"71","2012-10-06","1.0000","1.0000","1.0357","0.0000"," 0.0000","0.0"
"72","2012-10-07","0.0000","0.0000","1.1538","0.0000"," 0.0000","0.0"
"73","2012-10-08","0.0000","0.0000","1.2500","0.0000"," 0.0000","0.0"
"74","2013-10-08","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"75","2012-10-09","1.2500","1.3333","1.0849","1.3333"," 1.0000","0.0"
"76","2012-10-10","1.7500","0.0000","1.1939","2.0000"," 1.1429","1.0"
"77","2012-10-11","1.5000","4.8000","1.7464","2.6667"," 4.7143","6.5"
"78","2012-10-12","0.0000","1.0000","2.0172","2.0000"," 3.1667","3.0"
"79","2012-10-13","0.0000","0.0000","0.0000","1.0000"," 0.0000","0.0"
"80","2012-10-14","0.0000","0.0000","1.4000","0.0000"," 0.0000","0.0"
"81","2012-10-20","0.0000","0.0000","2.0000","0.0000"," 0.0000","0.0"
"82","2012-11-02","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"83","2012-11-16","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"84","2012-11-28","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
"85","2012-12-11","0.0000","0.0000","1.0000","0.0000"," 0.0000","0.0"
