"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-01","0","0","1.0000","0.0","0.0000","0.0"
"2","2012-01-01","0","0","1.0000","0.0","0.0000","0.0"
"3","2013-01-02","0","0","1.0000","0.0","0.0000","0.0"
"4","2012-01-02","0","0","1.0000","0.0","0.0000","0.0"
"5","2012-01-03","0","0","1.0000","0.0","0.0000","0.0"
"6","2012-01-04","0","0","1.2500","0.0","0.0000","0.0"
"7","2013-01-06","0","0","2.0000","0.0","0.0000","0.0"
"8","2012-01-06","0","0","1.0000","0.0","0.0000","0.0"
"9","2012-01-07","0","0","1.2500","0.0","0.0000","0.0"
"10","2012-01-08","0","0","1.0000","0.0","0.0000","0.0"
"11","2012-01-09","0","0","1.3333","0.0","0.0000","0.0"
"12","2013-01-10","0","0","1.0000","0.0","0.0000","0.0"
"13","2012-01-10","0","0","1.0000","0.0","0.0000","0.0"
"14","2013-01-11","0","0","1.4211","0.0","0.0000","4.0"
"15","2012-01-11","0","0","1.0000","0.0","0.0000","0.0"
"16","2013-01-12","0","0","1.4444","0.0","0.0000","0.0"
"17","2012-01-12","0","0","1.0000","0.0","0.0000","0.0"
"18","2013-01-13","0","0","1.0000","0.0","0.0000","0.0"
"19","2013-01-14","0","0","0.0000","0.0","0.0000","8.0"
"20","2013-01-15","0","0","1.9091","0.0","0.0000","9.0"
"21","2013-01-16","0","0","2.8750","0.0","0.0000","1.0"
"22","2012-01-16","0","0","1.0000","0.0","0.0000","0.0"
"23","2013-01-17","0","0","2.6842","0.0","0.0000","7.0"
"24","2012-01-17","0","0","1.0000","0.0","0.0000","0.0"
"25","2013-01-18","0","0","1.8000","0.0","0.0000","0.0"
"26","2012-01-18","0","0","1.2500","0.0","0.0000","0.0"
"27","2013-01-19","0","0","1.0000","0.0","0.0000","0.0"
"28","2012-01-19","0","0","1.0000","0.0","0.0000","0.0"
"29","2013-01-20","0","0","1.0000","0.0","0.0000","0.0"
"30","2012-01-20","0","0","1.0000","0.0","0.0000","0.0"
