created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Thu Jun 13 14:52:52 +0000 2013","False",,"es","http://twitter.com/FACTORABSOLUTO/status/345192049445838848","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Niña canta por la Educación Chilena (La Serena) #yomarchoel13 #nosvemosel13   Marcha por la Educación (La Serena)... http://t.co/VY49uCXRvt","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 14:53:51 +0000 2013","False",,"es","http://twitter.com/FACTORABSOLUTO/status/345192298155503616","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","El peda presente #yomarchoel13 #novemosel13 #revolucion3.0chile http://t.co/Z2lbfXRDY9","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 14:54:01 +0000 2013","False",,"es","http://twitter.com/espantachuncho/status/345192340396318720","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @No_a_Pinera: Sector Parque forestal sitiado por FFEE revisando bolsos a los que transitan #yomarchoel13 #nosvemosel13 5 buses... http:/…","LIUMAN ÑAMUN CACIKE ANTIFACHO..ANTIPAKOS..por la libertad de la gente a expresarse ¡¡NACÍO Y CRIAO EN  LA COMXNA DEL BOSKE ENCAPUCHADO..SIN PERROS NO SOMOS NADA","","Thu Oct 27 14:01:28 +0000 2011","683","#ParoNacional","espantachuncho"
"Thu Jun 13 14:54:59 +0000 2013","False",,"es","http://twitter.com/goyarzun/status/345192580104982528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Con más fuerza pero la misma convicción, avancemos hacia un Nuevo Sistema de Educación! #YoMarchoEl13! @MovilizateChile @Izquierda_Tuit","VicePresidente de la Federación de Estudiantes UAH 2013 @Feuahurtado y miembro de Genera Opción Universitaria @GouUah. Pedagogo, de Izq., Ignaciano y Bielsista!","Santiago, Chile","Mon Sep 07 23:03:44 +0000 2009","922","Gonzalo Oyarzún V.","goyarzun","Santiago"
"Thu Jun 13 14:56:24 +0000 2013","False",,"es","http://twitter.com/DefensoriaEstud/status/345192936306253826","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @No_a_Pinera: Sector Parque forestal sitiado por FFEE revisando bolsos a los que transitan #yomarchoel13 #nosvemosel13 5 buses... http:/…","Grupo de Estudiantes y Egresados de Derecho de la Universidad Central de Chile ocupando las herramientas del Derecho como herramienta de lucha","","Fri Feb 03 17:28:46 +0000 2012","2161","DefensoriaEstudiant","DefensoriaEstud","Santiago"
"Thu Jun 13 15:01:00 +0000 2013","False",,"es","http://twitter.com/FACTORABSOLUTO/status/345194097075712000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","En minutos por comenzar  #yomarchoel13 http://t.co/gbywSRhkro http://t.co/pUOhWl98UC","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 15:01:34 +0000 2013","False",,"es","http://twitter.com/FACTORABSOLUTO/status/345194236834103296","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Va a comenzar la marcha--&gt;  #yomarchoel13 #revolucion3.0chile #nosvemosel13 http://t.co/g7fudR6RwD","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 15:03:02 +0000 2013","False","narkia","es","http://twitter.com/PGC_Medios/status/345194607384068097","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Comienza marcha convocada por la #Confech, en este #YOmarchoel13.  @narkia.-","Medio independiente","","Wed Apr 20 05:02:50 +0000 2011","200","PGC_Medios","PGC_Medios","Santiago"
"Thu Jun 13 15:03:19 +0000 2013","False",,"es","http://twitter.com/niitazul/status/345194680180416512","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ya estamos nuevamente #yomarchoel13 http://t.co/I3CzDdnOrd",,"toledo spain :(","Wed Mar 03 22:01:25 +0000 2010","37","xuxa alvarez","niitazul","Greenland"
"Thu Jun 13 15:04:32 +0000 2013","False",,"es","http://twitter.com/feusach/status/345194983093055488","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Todos a la calle!! #yomarchoel13","Federación de Estudiantes Universidad de Santiago.","Santiago de Chile","Mon Jun 29 00:06:16 +0000 2009","12556","FEUSACH","feusach","Santiago"
"Thu Jun 13 15:04:59 +0000 2013","False",,"es","http://twitter.com/NicolasPonce14/status/345195098520309760","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harta gente pero no como en ocasiones anteriores... #YoMarchoel13 !","Estudiante de Periodismo. Hincha del CSyD COLO-COLO! Futbolista al peo... Tostado y gordito !","El Bosque","Tue Mar 06 19:39:23 +0000 2012","464","Nicolo","NicolasPonce14"
"Thu Jun 13 15:05:24 +0000 2013","False",,"de","http://twitter.com/FACTORABSOLUTO/status/345195202593570817","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","#yomarchoel13 #novemosel13 #revolucion3.0chile http://t.co/JdNdwffvGu","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 15:06:23 +0000 2013","False",,"es","http://twitter.com/FACTORABSOLUTO/status/345195450732802048","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","11:05  --&gt; Aún no comienya la marcha...vista delantera de la marcha  #yomarchoel13 #revolucion3.0chile... http://t.co/mAzGdMgJ9F","Cada día un comienzo","Santiago de Chile       ","Thu Oct 20 16:44:27 +0000 2011","8535","Revolución 3.0 Chile","FACTORABSOLUTO","Mid-Atlantic"
"Thu Jun 13 15:07:10 +0000 2013","False",,"es","http://twitter.com/pablo9788/status/345195645805670400","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @FACTORABSOLUTO: Sector museo bellas Artes mas de 200 Efectivos de FFEE 3 buses y dos zorrilos #yomarchoel13 #nosvemosel13... http://t.c…","Hijo de la tierra, obrero, que busca y anhela un cambio en la forma de pensar de un pais, en busca de un pueblo que luche por lo que siempre a merecido...","SANTIAGO, CHILE","Fri Jul 02 19:52:07 +0000 2010","214","#MiOpinionVale.","pablo9788","Santiago"
