created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Mon Oct 24 13:21:04 +0000 2011","False",,,"http://twitter.com/AustralTemuco/status/128461003292811264","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/2Tw4S7Qq","El diario de la región de La Araucanía.","Temuco","Wed Apr 22 15:30:01 +0000 2009","10550","Diario El Austral","AustralTemuco","Santiago"
"Mon Oct 24 13:21:05 +0000 2011","False",,,"http://twitter.com/austral_losrios/status/128461005259939840","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/DKcSU7ea","Principal medio de comunicación escrito de la Región de Los Ríos, fundado el 28 de noviembre de 1982.","Yungay 499, Valdivia","Fri Sep 04 16:30:25 +0000 2009","3101","Diario Austral","austral_losrios","Santiago"
"Mon Oct 24 13:21:05 +0000 2011","False",,,"http://twitter.com/austral_osorno/status/128461007432597504","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/433mkz00","El Austral, el Diario de Osorno. ","Chile","Fri Sep 25 17:47:44 +0000 2009","5234","diarioaustralosorno","austral_osorno","Santiago"
"Mon Oct 24 13:21:05 +0000 2011","False",,,"http://twitter.com/CronicaChillan/status/128461009345200128","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/ARYAoeb4","Crónica Chillán es un periódico editado en Chillán, provincia de Ñuble, Región del Biobío. La primera edición salió a la venta el día 30 de junio de 2008. ","Chillán","Sat Jun 27 14:42:19 +0000 2009","4722","Crónica Chillán","CronicaChillan","Santiago"
"Mon Oct 24 13:21:06 +0000 2011","False",,,"http://twitter.com/diarioatacama/status/128461011098411008","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/FovEFv74","Somos el portal en internet del Diario Atacama, con las noticias e informaciones de Copiapó y la región de Atacama. ","Copiapó","Fri May 29 04:10:28 +0000 2009","2281","Diario Atacama","diarioatacama","Santiago"
"Mon Oct 24 13:21:06 +0000 2011","False",,,"http://twitter.com/diariolider/status/128461013103284225","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/pYRe2qS4","","","Sat Sep 05 00:47:34 +0000 2009","1213","Diario El Líder","diariolider","Santiago"
"Mon Oct 24 13:21:08 +0000 2011","False",,,"http://twitter.com/ellanquihue/status/128461019344412672","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/vsQtnWN6","Diario de la ciudad de Puerto Montt, Región de Los Lagos. Fundado el 12 de febrero de 1885","Chile","Fri Sep 25 20:56:27 +0000 2009","5785","Diario El Llanquihue","ellanquihue","Santiago"
"Mon Oct 24 13:21:08 +0000 2011","False",,,"http://twitter.com/estrellachiloe/status/128461020875337728","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/XJ7rSGaD","Diario de Chiloé ","Castro","Wed Apr 14 19:25:30 +0000 2010","1215","Estrella de Chiloé","estrellachiloe","Santiago"
"Mon Oct 24 13:21:09 +0000 2011","False",,,"http://twitter.com/estrellaconce/status/128461023257694209","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/2Y9D8by6","","Concepción, Chile","Wed Apr 15 00:49:02 +0000 2009","3961","Estrella Concepcion","estrellaconce","Santiago"
"Mon Oct 24 13:21:10 +0000 2011","False",,,"http://twitter.com/estrella_antofa/status/128461030056660992","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Liceo Eduardo de la Barra de Valparaíso es tomado nuevamente #TomaLiceo http://t.co/LIbuT4rT","","Antofagasta, Chile ","Sat Aug 08 02:42:39 +0000 2009","1963","Estrella de Antofaga","estrella_antofa","Santiago"
