created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Thu May 03 18:19:37 +0000 2012","False",,,"http://twitter.com/mentalsuffering/status/198114604008742913","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#yomarchoel5 a favor de la despenalizaxion por la cannabis y tu? #nomaspresosxplantar #cultivatusderechos","Estudiante de Traducción de ingles-español, Audino, aficionado a la buena musica de rock y a las guitarras.","Ásgarðr","Sun Oct 04 23:58:08 +0000 2009","178","Phil","mentalsuffering","Santiago"
"Tue Jun 26 22:40:11 +0000 2012","False",,,"http://twitter.com/AlisonVivanco/status/217749126048260096","web","#YoMarchoEl5 Porque el 28 no puedo  XD!","Estudiante de IV° medio. Soy la de los pero, los por qué y los cómo; Así es, todo un dolor de cabeza. Amo la historia y la política, PERO debería ser poeta.","Santiago de Chile","Sat Jan 16 20:47:54 +0000 2010","522","Alison Vivanco","AlisonVivanco","Santiago"
"Mon Jul 02 01:31:58 +0000 2012","False",,,"http://twitter.com/Politikuchos/status/219604292968001536","web","RT @gmobastias: #YoMarchoel5 pero sin Martínez.","Por sus tweets los conoceréis...Sigo a todo el que me sigue...Hago RT, pero no siempre interpretan mi pensamiento.   ","","Sat Feb 18 15:42:30 +0000 2012","527","Politikuchos","Politikuchos"
"Wed Jul 04 04:38:10 +0000 2012","False",,,"http://twitter.com/Sherlyn2033/status/220375927752896513","web","#yomarchoel5 por un sueldo digno para los trabajadores de Chile http://t.co/ScqNkaIn","Estudiante de Administración Pública UV. Movilizada por la recuperación de la educación pública y por la defensa de la Patagonia! ","Valparaíso","Thu Nov 19 05:33:18 +0000 2009","357","Sherlyn López Chávez","Sherlyn2033","Santiago"
"Thu Jul 05 05:22:19 +0000 2012","False",,,"http://twitter.com/MoisesParedesR/status/220749429324513281","web","Mañana a marchar por que es necesario un sueldo que dignifique la vida de las familias de Chile, por un #SueldoMínimoDe250mil #YoMarchoel5","tenor lírico , vocero liceo arturo alessandri palma año 2011, generación expulsados 2011 y lucho cada día para hacer de este país un mejor lugar para vivir.","santiago ","Thu Mar 22 22:52:58 +0000 2012","351","moises paredes","MoisesParedesR","Atlantic Time (Canada)"
"Thu Jul 05 05:22:58 +0000 2012","False",,,"http://twitter.com/klau70/status/220749591384035328","web","RT @MoisesParedesR: Mañana a marchar por que es necesario un sueldo que dignifique la vida de las familias de Chile, por un #SueldoMínim ...","TAROTISTA PROF. SIGO EN ESTA RED A QUIENES ME INTERESA LEER, PARA MI NO SON UN Nº MÁS SI NO AMIGOS CON QUIENES COMPARTIR Y DEBATIR. GRCS x ACEPTARME Y SEGUIRME","VIÑA DEL MAR","Wed May 19 03:56:40 +0000 2010","112","CLAUDIA GALLARDO","klau70","Athens"
"Thu Jul 05 05:24:15 +0000 2012","False",,,"http://twitter.com/Primatologo/status/220749915591151617","web","RT @MoisesParedesR: Mañana a marchar por que es necesario un sueldo que dignifique la vida de las familias de Chile, por un #SueldoMínim ...","Estudio la conducta de los gorilas, pero en mis ratos libres me dedico a la sociología. En un mundo de mentiras, decir la verdad es un acto revolucionario.","Buenos Aires / Santiago","Thu Feb 04 04:43:53 +0000 2010","3149","Primatólogo","Primatologo","Buenos Aires"
"Thu Jul 05 05:27:22 +0000 2012","False",,,"http://twitter.com/Alvarolo_25/status/220750697476530176","web","RT @MoisesParedesR: Mañana a marchar por que es necesario un sueldo que dignifique la vida de las familias de Chile, por un #SueldoMínim ...","Técnico en Prevención de riesgos, socialista, fanático de la UC, la gente debe despertar de su letargo!! ","buin, santiago de chile","Tue Nov 17 00:40:21 +0000 2009","231","Alvaro Suarez","Alvarolo_25","Santiago"
"Thu Jul 05 05:31:50 +0000 2012","False",,,"http://twitter.com/akarina_/status/220751820706942977","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @MoisesParedesR: Mañana a marchar por que es necesario un sueldo que dignifique la vida de las familias de Chile, por un #SueldoMínim ...","Profesional universitaria,regalona y cariñosa,me molesta la injusticia social y me encantan los animales.","Arica,Chile.","Wed May 05 03:48:07 +0000 2010","727","karina olivares","akarina_","Santiago"
"Tue Aug 21 19:58:06 +0000 2012","False",,,"http://twitter.com/Juansepadillasu/status/238002054373707777","web","#YoMarchoEl5 Para exigirle al gobierno que no le haga conejo a la educación y al país. @manecolombia http://t.co/opzR9XsM","Estudiante de Economia en la Universidad del Quindio ... Miembro activo de la @OCEcolombia  http://www.ocecolombia.com/ ","Armenia","Sun Aug 07 16:27:53 +0000 2011","154","sebastian padilla","Juansepadillasu","Eastern Time (US & Canada)"
