"","user","degree"
"4513","carola_amatista","  10"
"5849","leon_usach","  10"
"7104","l_na7","  10"
"7551","anefchile","  10"
"7961","julioastillero","  10"
"7989","myta_colombe","  10"
"8161","vlatorre","  10"
"8190","mayo1era","  10"
"8205","bar_liguria","  10"
"8309","gpdelarderel","  10"
"8704","fmcrostie","  10"
"8746","patriciolopezg","  10"
"16","jasan777","   9"
"133","atraccionhumana","   9"
"360","pameulrika","   9"
"516","camibanez","   9"
"934","papurri_pop","   9"
"961","reta66","   9"
"1527","tereelimontero","   9"
"1765","claudiomunozr","   9"
"2789","perispomeno","   9"
"2949","susana_zz","   9"
"3062","suallle","   9"
"3701","franntaastica","   9"
"3829","paiz_chile","   9"
"3929","cintigutierrez","   9"
"4817","mhmagofke","   9"
"4993","radio_tierra","   9"
"5082","novilic","   9"
"5681","numerodiecisiet","   9"
"5964","carlali_","   9"
"7008","cadaunante","   9"
"7632","jroco_","   9"
"7636","lordwatermelon","   9"
"7884","labeasanchez","   9"
"7919","jpcrettino","   9"
"7938","paulojml","   9"
"7954","marilyluders","   9"
"8065","mirymoraa","   9"
"8633","el_bruna","   9"
"55","ceci_rissim","   8"
"81","amows","   8"
"205","paulocontrerasc","   8"
"346","kunamaskta","   8"
"376","cocabeltran","   8"
"380","valenzuelalevi","   8"
"383","yaz_an","   8"
"568","trigorosa","   8"
"1392","naupuc","   8"
"2149","enkelikitty","   8"
"2294","mapc","   8"
"4281","tiempodebalas","   8"
"4643","peperivasc","   8"
"4958","cosorio999","   8"
"5356","daimosan","   8"
"6258","radiobembasound","   8"
"6563","cvalenzuelac","   8"
"7105","andress85","   8"
"7503","maria_josecc","   8"
"7588","risetka","   8"
"7598","varayad","   8"
"7627","toblipaaa","   8"
"7672","radioamlo","   8"
"7688","jotapecanales","   8"
"7781","jorrojas_","   8"
"8018","2011rebelion","   8"
"8041","nixol_lda","   8"
"8155","amarogael","   8"
"8285","laquellevaluz","   8"
"8456","nueva_agenda","   8"
"8528","paulinandreas","   8"
"8598","panchadragonfly","   8"
"8758","ifarra","   8"
"8824","blackxsheep","   8"
"8880","diarioafta","   8"
"13","mmarrue","   7"
