"","user","degree"
"7573","marcelojorquera"," 10"
"7663","lriquelme"," 10"
"7689","katonakatrina"," 10"
"7755","mairamone"," 10"
"7797","vashneo"," 10"
"7831","fantuzziasexma"," 10"
"8288","kamiluchiis"," 10"
"8302","kathadis"," 10"
"8393","latardera"," 10"
"8431","aleeematus"," 10"
"8435","vicentesolisj"," 10"
"8447","coninave"," 10"
"8506","felipe4ever"," 10"
"8735","andreaherrerar"," 10"
"8740","anvep"," 10"
"52","patiaraya","  9"
"220","gibarra","  9"
"451","lorenbsas","  9"
"2274","sitiocero","  9"
"2497","guenumans","  9"
"3230","fpipe87","  9"
"4227","danibricenor","  9"
"5083","belenhenriquez","  9"
"5677","alud","  9"
"6413","alnava","  9"
"6521","jaime_alvarado","  9"
"7232","srojasm","  9"
"7307","lasultimas","  9"
"7385","alexm_cl","  9"
"7397","jhonconnor123","  9"
"7452","javiervelaskov","  9"
"7513","nianvalenzuelam","  9"
"7610","muriatico","  9"
"7771","planetazuniga","  9"
"7883","ignaciodns","  9"
"7885","cristian_volker","  9"
"7887","xime_canales","  9"
"7939","rectaprovincia","  9"
"7950","cristdiaz","  9"
"8221","nela1991","  9"
"8270","ignacio_lobos","  9"
"8345","deletrealopo","  9"
"8607","dar1o","  9"
"97","sandrinapost","  8"
"119","abjoseorue","  8"
"237","toledo_campos","  8"
"286","verdadahoracl","  8"
"383","ayaxnub","  8"
"454","marietta_j","  8"
"1196","vacuna709","  8"
"1977","m0ncita","  8"
"2159","renenaranjo","  8"
"2300","perrerac","  8"
"2447","dracecicastillo","  8"
"2570","koneko_3","  8"
"2621","ginniasa","  8"
"3341","alkkano","  8"
"3470","lydicar","  8"
"3688","clagoslira","  8"
"4896","freepcx","  8"
"5330","rodrigo_ogalde","  8"
"7489","pabloseb","  8"
"7537","monaillanes","  8"
"7582","elvitoto","  8"
"7594","lubluk","  8"
"7598","informadorchile","  8"
"7641","pavalenz","  8"
"7767","dilemas","  8"
"7813","eslo_quehay","  8"
"7821","patogustavo","  8"
"7960","dlaunion","  8"
"8125","xjesus","  8"
"110","manjenet","  7"
"218","camirivera","  7"
"404","armandonoticias","  7"
"518","pulgarebelde","  7"
"631","patomeza","  7"
"842","ximegui","  7"
"1138","bquellet","  7"
"1774","danidanii","  7"
"2669","csancheznieto","  7"
"2742","labermudez_chil","  7"
"3087","marcelclaude","  7"
"3532","matirasta","  7"
"3739","xaxo6v","  7"
"3757","big_smile18","  7"
"4061","luisfepipe","  7"
"4466","vicky__pyly","  7"
"4476","sudamericanas","  7"
"4504","juantrucha","  7"
"4891","elbuenmiguelon2","  7"
"4956","rociomusica","  7"
"6034","soniabouzas","  7"
"6724","pauli_gl","  7"
"7163","leo_marin","  7"
"7450","ricardoobando","  7"
"7512","paz_astaroth","  7"
"7583","caroaedo","  7"
"7584","crashbisama","  7"
"7606","sondecalle","  7"
"7608","vitoor10","  7"
"7609","goyanedelv","  7"
"7643","vuranga","  7"
"7647","kpitel","  7"
"7707","pablo__vf","  7"
"7740","vktfg","  7"
"7750","jorgeloayza","  7"
"7846","aarizti1","  7"
"7894","manzarock","  7"
"7905","edu_jebus","  7"
"7912","begnocire","  7"
"7975","mjesusfuentes","  7"
"8137","karmen_cita","  7"
"8140","mutanrashen","  7"
"8147","vbascur","  7"
"8148","milkoyunusic","  7"
"8179","leodeliondread","  7"
"8281","jovenrise","  7"
"8293","andreitagonzale","  7"
"8323","soyelcueck","  7"
"8360","paiz_chile","  7"
"8379","shakaomm","  7"
"8466","marconunez","  7"
"8476","gcriado","  7"
"8627","hugo_mahias","  7"
"8657","syn4ps1s","  7"
"8719","thisismarisol","  7"
"23","movimental","  6"
"88","elcataldo","  6"
"153","caroschick","  6"
"170","javiarce","  6"
"172","strang3child","  6"
"178","gc_marines","  6"
"223","anngiemendoza","  6"
"701","mrfredes","  6"
"753","jpmarquezsm","  6"
"800","sitiodelsuceso","  6"
"950","emunozin","  6"
"979","vanis","  6"
"1629","_javicardenas","  6"
"1848","delarepublica","  6"
"1999","deysita","  6"
"2583","janolivares","  6"
"2984","sergiost","  6"
"3073","javierpisheli","  6"
"3380","sebasvillas","  6"
"3544","pazvictoriacl","  6"
"3671","seo2","  6"
"3827","helua","  6"
"3948","growupman","  6"
"4236","darerlz","  6"
"4448","elbacteria","  6"
"4552","konga_man","  6"
"5591","nadja_","  6"
"6499","rarodriguezn","  6"
"6781","lorenadcw","  6"
"7055","joelsilvacastro","  6"
"7466","senadornavarro","  6"
"7541","iconoclasistas","  6"
"7580","mynameismatias","  6"
"7588","juancaiceo","  6"
"7613","pablo_arce","  6"
"7633","yosoyallendista","  6"
"7697","micronauta","  6"
"7715","nicolwhat","  6"
"7739","oclacc","  6"
"7745","cnnee","  6"
"7749","josiifunk","  6"
"7762","ferwolfs","  6"
"7811","rod_araya","  6"
"7844","cataransuza","  6"
"7867","dfiabane","  6"
"7922","an3barriga","  6"
"7958","troooublemaker","  6"
"7976","esasinomas","  6"
"8101","rstuven","  6"
"8142","kell7ta","  6"
"8154","reneramosc","  6"
"8162","jorgecontesse","  6"
"8193","yonofui","  6"
"8225","tattofalconi","  6"
"8259","youngvictoria16","  6"
"8313","ori_miranda","  6"
"8335","tvn_juancarlos","  6"
"8394","cmopazo","  6"
"8450","dr_alarcon","  6"
"8619","ocastro89","  6"
"76","glasinovic","  5"
"77","estudioslaicos","  5"
"117","pfleiderman","  5"
"144","arkano18","  5"
"213","tebraxs","  5"
"284","malditoprotozoo","  5"
"292","inis_mm","  5"
"343","c_jara","  5"
"351","csarvo","  5"
"776","kambiado","  5"
"821","ingdeoz","  5"
"963","paulo_saavedra","  5"
"1013","reinaldolope","  5"
"1184","iscodelrio","  5"
"1331","raulpt","  5"
"1598","sole_10","  5"
"2606","seba_lucho","  5"
"2687","nicogh","  5"
"3617","visteycalza","  5"
"3642","anrasodu","  5"
"3699","jfowks","  5"
"4357","juampitter","  5"
"4524","mafaldiita","  5"
"4565","luchostein_cl","  5"
"4703","elquenofue","  5"
"5140","cokep","  5"
"5555","elpasolibre","  5"
"5724","mozeifala","  5"
"6092","rosefem1","  5"
"6947","anebiolo","  5"
"7149","connie_bravo","  5"
"7169","cvalenze","  5"
"7257","lucialapelicula","  5"
"7405","srnunez","  5"
"7432","sr_adi","  5"
"7473","solefuentes","  5"
"7488","vivianilla","  5"
"7493","rodolfoborquez","  5"
"7551","cristobalugalde","  5"
"7559","harismendy_","  5"
"7562","ercoboy","  5"
"7586","mleonicio","  5"
"7616","mindfulloflies","  5"
"7656","nosoyjuan","  5"
"7833","giorgiojackson","  5"
"7841","_juntos","  5"
"7884","carabchile","  5"
"7889","vgutierrezf","  5"
"7921","imneverokay","  5"
"7946","felipezh","  5"
"7952","cata_figueroa","  5"
"7959","gonzalezlillo","  5"
"7969","ida_miranda","  5"
"7970","pablixo_","  5"
"8035","frcarrillo","  5"
"8039","giiiovanniii","  5"
"8062","gocampos","  5"
"8118","josemrodriguez","  5"
"8182","jarceb","  5"
"8191","kalubea","  5"
"8252","cristianroco","  5"
"8269","jroco_","  5"
"8316","reconstruye","  5"
"8330","hceb","  5"
"8367","pablobili316","  5"
"8406","jpriquelme","  5"
"8438","gabvillaseca","  5"
"8474","alejandronova","  5"
"8486","sabotaje","  5"
"8505","_jano","  5"
"8512","c2rq","  5"
"8519","mreyesn","  5"
"8527","no_a_pinera","  5"
"8533","soy_estudiante","  5"
"8568","fraaaan__","  5"
"8605","elxedder","  5"
"8637","fcoaguayo","  5"
"8737","jplizana","  5"
"8858","alvagraul","  5"
"4","palitocore","  4"
"27","mjsotoaguilar","  4"
"148","urxchile","  4"
"165","marcelillavn","  4"
"186","sovietic0","  4"
"196","cladita","  4"
"209","alsed","  4"
"246","juanpablo_","  4"
"332","danyutem","  4"
"341","f3lipuez","  4"
"344","aossesc","  4"
"418","claudiobustios","  4"
"452","manuchis","  4"
"530","anarkoaxaca","  4"
"563","ardovil","  4"
"839","sebasantana2011","  4"
"1006","yedezma","  4"
"1051","gentedelsur","  4"
"1100","andrea0rozco","  4"
"1198","abinhds","  4"
"1244","claudio_vh","  4"
"1887","caro_ba_pla","  4"
"2160","javierac_r","  4"
"2279","merinofranco","  4"
"2349","salgado_c21","  4"
"2418","s_poveda","  4"
"2438","ivanenlaciudad","  4"
"2547","enriquepuentes","  4"
"2609","darcemau","  4"
"2627","albornoznico","  4"
"2729","fgarrobo","  4"
"2896","cmgw2010","  4"
"2926","paulavernimmen","  4"
"3015","gildabastias","  4"
"3104","litabastidas","  4"
"3323","stroboestudio","  4"
"3392","moralesjp","  4"
"3398","marcelogodoyg","  4"
"3511","jlgallardo","  4"
"3569","grunshh","  4"
"4163","noesnalaferia","  4"
"4385","sebastionrob","  4"
"4492","fpairo","  4"
"4764","elklayea","  4"
"5215","hizoka_darkwolf","  4"
"5324","esopino","  4"
"5325","kawesqar_","  4"
"5538","aechague","  4"
"5643","alconsumidor","  4"
"5685","gvamericalatina","  4"
"5925","vicentejuan","  4"
"6146","bihotita","  4"
"6707","wisp_me","  4"
"6921","javieramena","  4"
"6949","sita_yanis","  4"
"7159","vidasilente","  4"
"7186","huelladigital5","  4"
"7207","makismella","  4"
"7359","tsboncompte","  4"
"7398","elfacho_","  4"
"7430","ziza8pg","  4"
"7436","mchaparro","  4"
"7443","dj_zense","  4"
"7472","maneriquelme","  4"
"7510","dbustosp","  4"
"7523","eduardo__reveco","  4"
"7556","josetomasibanez","  4"
"7615","sebarivasv","  4"
"7617","konini","  4"
"7651","dmperez21","  4"
"7670","comentarista","  4"
"7709","caritostyles","  4"
"7712","valentinareyes","  4"
"7713","sebastianbrahm","  4"
"7717","jaranedab","  4"
"7729","grhupo","  4"
"7735","abastiasa","  4"
"7768","caobaeza","  4"
"7779","juanpablorodrig","  4"
"7806","jorgelatrille","  4"
"7823","rodrigoaraya","  4"
"7836","andreapinorojas","  4"
"7839","hack_wish","  4"
"7869","juanpabloswett","  4"
"7881","erchester","  4"
"7893","hernanaraya","  4"
"7972","sirlund","  4"
"7998","sangrientoo","  4"
"8051","traficantes2010","  4"
"8053","timmyturner13","  4"
"8079","gafm_","  4"
"8093","imjaltmann","  4"
"8155","fabian_bonilla","  4"
"8208","bastian__18","  4"
"8209","carlitos_big","  4"
"8253","angiayan","  4"
"8268","danivalderrama","  4"
"8280","cesaronfire","  4"
"8338","bambinoanimador","  4"
"8350","edu_castillo","  4"
"8385","camihernandezst","  4"
"8441","makitapaezc","  4"
"8443","asesorciudadano","  4"
"8445","maxikiller","  4"
"8455","dany_elvega","  4"
"8495","aaristegui","  4"
"8499","marioasis","  4"
"8511","anonops_cl","  4"
"8524","cursosjavier","  4"
"8543","paugutie","  4"
"8556","nicole_burger","  4"
"8571","anniexcannibal","  4"
"8589","sciologo","  4"
"8590","ncandel","  4"
"8701","gonzalopizarro","  4"
"8705","confidencialcol","  4"
"8714","iebelanieve","  4"
"8716","cristianpuentes","  4"
"8758","mostromarilyn","  4"
"8785","lavitamina","  4"
"8795","diablogris","  4"
"8813","mauricio_1612","  4"
"8838","fernanditta","  4"
"8840","ximenaguilera","  4"
"34","beleramirez","  3"
"59","emerxpadilla","  3"
"74","david_atf","  3"
"159","renezp","  3"
"179","sita_mini","  3"
"232","piskasso","  3"
"268","sergiomoraga","  3"
"324","sepilveda","  3"
"337","loretoandrade","  3"
"349","jpsanhueza","  3"
"402","elrevu","  3"
"453","fuina","  3"
"519","marcobellom","  3"
"584","emiux","  3"
"968","edsiper","  3"
"1036","carlosbaeza","  3"
"1049","gatasai","  3"
"1050","pablogado","  3"
"1232","kaskivanokaski","  3"
"1471","diegotirelli","  3"
"1846","pituskaya","  3"
"1873","djcromosoma","  3"
"1882","mopontapanapa","  3"
"2058","alexcarobravo","  3"
"2339","nano_punto_cl","  3"
"2369","nestormorales","  3"
"2467","linaacolours","  3"
"2468","ggasp","  3"
"2504","brexa","  3"
"2733","kairuz911","  3"
"2793","magc591","  3"
"2881","wearedeadnow","  3"
"2890","sandro_medina","  3"
"3029","drivadeneira","  3"
"3036","cdperiodismo","  3"
"3120","incompleti0n","  3"
"3180","pelochiino","  3"
"3358","deufon","  3"
"3382","sebaemir","  3"
"3397","sotoski","  3"
"3415","camiquai","  3"
"3494","jjcc_chile","  3"
"3583","mademusik","  3"
"3591","vfarinelli","  3"
"3743","tamara_bravo198","  3"
"3814","jsolivares","  3"
"3886","andi_katrina","  3"
"3932","bicho_vocalista","  3"
"4053","pelapazz","  3"
"4117","camimodinger","  3"
"4202","oaroca","  3"
"4427","pressnumber7","  3"
"4561","carolinaruiz","  3"
"4660","zufluchtder","  3"
"4673","the_catherine","  3"
"4676","thelasttoknow","  3"
"4706","csanhuezac","  3"
"4717","dreammex","  3"
"4725","himura_x_","  3"
"4750","mauzzer","  3"
"5653","alonsofz","  3"
"6079","miguelarias","  3"
"6162","arnau_fb","  3"
"6176","c_guz_m","  3"
"6184","radio_cannabis","  3"
"6185","felipenrique","  3"
"6358","laexpropiacion","  3"
"6378","imilpan","  3"
"6547","eugenioquintana","  3"
"6561","javilarel","  3"
"6598","brunobettati","  3"
"6618","votaaotros","  3"
"6917","ignaciomunoz88","  3"
"6945","pfigariv","  3"
"7093","joysandfears","  3"
"7147","c_castroh","  3"
"7188","paulaliber","  3"
"7229","maurocps","  3"
"7288","nane_morgado","  3"
"7320","tigresnlamirada","  3"
"7325","pelungo11","  3"
"7382","chavacfigueroa","  3"
"7390","mavillal","  3"
"7444","mauropalma","  3"
"7461","violetiii","  3"
"7471","padremoya","  3"
"7474","osvaldolobos","  3"
"7481","juanpablotapia","  3"
"7500","luislavinni","  3"
"7507","manolenster","  3"
"7511","monitamsg","  3"
"7522","crische","  3"
"7543","palalo","  3"
"7553","josefag_","  3"
"7571","andresreitze","  3"
"7579","taniag","  3"
"7591","amenesesm","  3"
"7597","yorchhappy","  3"
"7607","mi_adagio","  3"
"7622","baruchdom","  3"
"7630","moraless","  3"
"7638","florguzman","  3"
"7639","carlosdvt","  3"
"7674","electroblues","  3"
"7676","pame_venegas","  3"
"7692","ignaciamanda","  3"
"7705","tannylillo","  3"
"7710","rodrigogarayr","  3"
"7741","cristianrc106","  3"
"7759","cojeli","  3"
"7789","mpaber","  3"
"7792","kardenche","  3"
"7843","josemdelpino","  3"
"7855","gracyalva","  3"
"7874","__csc","  3"
"7890","soparodrigo","  3"
"7898","ydardon","  3"
"7902","isvaytiare","  3"
"7906","gonzalogonzalej","  3"
"7908","rootcarlos","  3"
"7910","nataliasandalia","  3"
"7929","zureste","  3"
"7933","veritoacosta","  3"
"7940","kukoossa","  3"
"7947","rodrigoosses75","  3"
"7962","jobecerra","  3"
"7968","sergiocanon","  3"
"7974","ericguzman","  3"
"7977","maria_t__","  3"
"7980","richardsotog","  3"
"7989","biga2040","  3"
"7992","javierasgl","  3"
"7999","hruizvargas","  3"
"8000","maxkreimerman","  3"
"8028","xecy","  3"
"8030","lambstown","  3"
"8040","ojos_morados","  3"
"8068","oscarsalas","  3"
"8070","monicapazrivera","  3"
"8071","patoerlandsen","  3"
"8076","patoibarra","  3"
"8094","pablo_zuniga","  3"
"8117","monnomestdary","  3"
"8120","pauligutz","  3"
"8150","eliassantis","  3"
"8161","juankjar","  3"
"8164","royuc","  3"
"8167","romipoppins","  3"
"8180","oscarcaceres","  3"
"8201","kathy_k_boom","  3"
"8202","rofacio","  3"
"8207","sole_hormazabal","  3"
"8212","bucaner0","  3"
"8222","danreyesl","  3"
"8227","luquistruqui","  3"
"8263","dnaviamac","  3"
"8271","boxa_chep","  3"
"8308","vf_karin","  3"
"8339","pateaeltarro","  3"
"8346","nacholudico","  3"
"8369","angeange","  3"
"8370","cheypiroska","  3"
"8372","valdenegrors","  3"
"8407","davidherzlos","  3"
"8410","lorenzocerna","  3"
"8428","misscachete","  3"
"8457","fjclaissac","  3"
"8460","juanoale","  3"
"8462","david_hielo","  3"
"8469","mi_eduar","  3"
"8473","gonzgroove","  3"
"8481","garcescarrasco","  3"
"8489","rvillegash","  3"
"8494","eltunelunq","  3"
"8498","i_becker","  3"
"8509","luisordenesmag","  3"
"8529","carlos_said","  3"
"8534","andrescorreai","  3"
"8548","ticalz","  3"
"8558","inaki_aukaman","  3"
"8561","nicolaevil","  3"
"8562","militza_","  3"
"8587","diegrod","  3"
"8603","nicolesenerman","  3"
"8606","ginobailey","  3"
"8630","elindignado","  3"
"8631","caraja","  3"
"8640","pedrosandovalo","  3"
"8646","jgmradio","  3"
"8658","florescontuiter","  3"
"8665","vabizama_","  3"
"8666","kotykatzchen","  3"
"8668","rockaxiscontodo","  3"
"8684","catasalome","  3"
"8690","yasnidrew","  3"
"8694","likegabyeah","  3"
"8695","kassandriux","  3"
"8700","alonsoherrera_","  3"
"8702","natavico","  3"
"8710","ktutosw","  3"
"8734","rickburgos","  3"
"8741","nicolasabarca","  3"
"8761","caamiilaapaaz","  3"
"8767","red_mivoz","  3"
"8769","catala_style","  3"
"8782","patoischile","  3"
"25","scriado","  2"
"99","newtontt","  2"
"101","matiascifuentes","  2"
"113","coralinesaez","  2"
"118","sergioriveraa","  2"
"129","luchocaceres","  2"
"133","canabalong","  2"
"143","martacambero","  2"
"180","mak_moreno","  2"
"212","talamistral","  2"
"227","lesliona","  2"
"228","scantuarias","  2"
"242","jigmeshelri","  2"
"250","toblipaaa","  2"
"267","pablojunyent","  2"
"288","carolinarayen","  2"
"307","seba_conce","  2"
"316","lealbravo","  2"
"334","nickusbarrera","  2"
"350","silvanapolito","  2"
"362","patty_orue","  2"
"374","duendeanarko","  2"
"387","xavilira","  2"
"502","quill0tan0","  2"
"516","ceciliatoro","  2"
"524","jtmu","  2"
"714","mefuienlavola","  2"
"756","polylla","  2"
"758","fabianmcd","  2"
"899","pablo_ferre","  2"
"902","dankuk","  2"
"964","glizama","  2"
"1000","thebauer_power","  2"
"1088","rbustamante81","  2"
"1129","claroscuro_mgs","  2"
"1228","ailinluna","  2"
"1278","abracazombie","  2"
"1324","pelaorodrigorc","  2"
"1338","macarenae","  2"
"1339","marq_hg","  2"
"1365","escriboentuiter","  2"
"1380","mquiero","  2"
"1381","lacalifa_soto","  2"
"1436","mroblerop","  2"
"1443","pame_sepulveda","  2"
"1450","gonzalofera","  2"
"1500","acgura","  2"
"1570","aspermun","  2"
"1650","cpazthomas","  2"
"1654","alexismalll","  2"
"1662","umatana","  2"
"1721","m_lillo","  2"
"1811","rociobelenyl","  2"
"1879","claudiacabrera_","  2"
"1892","_maaali","  2"
"1914","tania_gemeloza2","  2"
"1948","macabro__","  2"
"1978","simets89","  2"
"2011","alvaromode","  2"
"2029","fakeuniverse","  2"
"2084","gabygente","  2"
"2096","berniap","  2"
"2118","claudiao2","  2"
"2208","rhidalgod","  2"
"2253","kmiosso","  2"
"2386","isaacrojas","  2"
"2519","mvivar","  2"
"2527","andydelgado","  2"
"2533","preemergencia","  2"
"2542","_dugac","  2"
"2543","lasihablo","  2"
"2667","amigopintor","  2"
"2738","andreittabc","  2"
"2739","pvalencia","  2"
"2842","sergioaguilo","  2"
"2854","daniaraya96","  2"
"2878","ricardoalreves","  2"
"3002","ortizbilbao","  2"
"3011","caturrisita","  2"
"3041","cataequijada","  2"
"3085","yaz_an","  2"
"3103","loyola","  2"
"3118","xshagrathx","  2"
"3137","jemunoz2","  2"
"3211","javiera","  2"
"3276","pipos666","  2"
"3279","javibrilla","  2"
"3303","cami_petrelli","  2"
"3448","valesst","  2"
"3486","titulopendiente","  2"
"3549","maurotreuer","  2"
"3572","makanaochi","  2"
