"","user","degree"
"2117","vale23","  2"
"2123","profitador","  2"
"2126","rebolledo","  2"
"2139","germainsoto","  2"
"2152","michelleolgui","  2"
"2159","javier_fox","  2"
"2161","arantxita","  2"
"2162","paola_gari","  2"
"2163","leo_jorqueras","  2"
"2167","gonzpt","  2"
"2179","anagenesischile","  2"
"2182","ipugab","  2"
"2184","jzuleta","  2"
"2208","edovergarat","  2"
"2212","fisaez","  2"
"2214","simongonzalezb","  2"
"2216","sudamericanas","  2"
"2232","danistyy","  2"
"2241","abasanchez","  2"
"2242","aharambour","  2"
"2244","guillebetancur","  2"
"2259","eugenioquintana","  2"
"2260","guardiabermella","  2"
"2263","lasultimas","  2"
"2267","sitiocero","  2"
"2273","stark","  2"
"2274","andresaca","  2"
"2279","milenio","  2"
"2280","merkenahumado","  2"
"2284","gustavodalmasso","  2"
"2286","mickover","  2"
"2294","vrodrigueznunez","  2"
"2304","moralesjp","  2"
"2305","asomaotk","  2"
"2312","jamesmeryb","  2"
"2315","felipelmagno","  2"
"2323","soydelvalle","  2"
"2324","rodrigovb","  2"
"2329","paosanci","  2"
"2335","ricotute","  2"
"2336","juventudcopei","  2"
"2339","rhidalgod","  2"
"2346","ccaceresf","  2"
"2352","uchileradio","  2"
"2357","bernardosego","  2"
"2366","fredymolina","  2"
"2376","lore_burgos","  2"
"2379","efren_osorio","  2"
"2386","rodrigomarchant","  2"
"2391","cristian_munozm","  2"
"2392","cheojaque","  2"
"2395","elnaveghable","  2"
"2400","aurriolasolar","  2"
"2402","migd2010","  2"
"2404","wasabruta","  2"
"2409","elbeatdeltambor","  2"
"2412","negrotapia","  2"
"2417","caritovm","  2"
"2420","loloadasme","  2"
"2422","katybecker","  2"
"2432","rhon2008","  2"
"2442","carolitamunoz","  2"
"2447","s","  2"
"2448","maurilevy","  2"
"2450","paula_fd","  2"
"2453","vabizama_","  2"
"2457","alvmunozf","  2"
"2468","ngelamoreira","  2"
"2469","elconejorojo","  2"
"2473","meganoticiascl","  2"
"2474","mluisa_ubeda","  2"
"2481","oshrik","  2"
"2484","milafuentes","  2"
"2503","pilarangelang","  2"
"2512","mujermapuchee","  2"
"2515","juankst","  2"
"2516","jimenandrea74","  2"
"2517","maibac1","  2"
"2520","adriana_duran","  2"
"2529","ekiss_de","  2"
"2542","vacuna709","  2"
"2543","mapilharreguy","  2"
"2551","edufu__","  2"
"2553","katibrit","  2"
"2555","c0t3k","  2"
"2558","_victoriamiller","  2"
"2562","jpterrazas","  2"
"2564","la_natuxa","  2"
"2568","lasmalvas","  2"
"2579","yolosconozco","  2"
"2580","ivan_afta","  2"
"2585","dmlynarz","  2"
"5","javi_norambuena","  1"
"7","ignaciolr","  1"
"25","alebeln","  1"
"29","chileducaccion","  1"
"33","dascencio","  1"
"39","karinaloreto","  1"
