"","user","degree"
"17","sebagamboa_","15"
"18","buhoviejo"," 1"
"1","MovilizateChile"," 0"
"2","maxchileno"," 0"
"3","ae_saenz"," 0"
"4","Carolina_Jarap"," 0"
"5","LAburtoBorquez"," 0"
"6","emedeche"," 0"
"7","ierrazuriz_"," 0"
"8","SANMANUELMELIP"," 0"
"9","Lau_95"," 0"
"10","NoamTitelman"," 0"
"11","nachoadaos"," 0"
"12","jennypardosilva"," 0"
"13","rod_naranjo"," 0"
"14","Pablosolist"," 0"
"15","LuciaLutty"," 0"
"16","Alfredoeduca"," 0"
